,Neighborhood,Census.Tract,Homeowner.age.building.years,Pb.ppm,Pred.µg.dL.,P.PbB.3.5,P.PbB.5,P.PbB.6,P.PbB.10,Age.25m.years,Community.Area
1619,,510300,NA,267.5,2.97,36.247,13.334,6.698,0.486,70,SOUTH DEERING
1620,,510300,NA,602.5,5.14,79.323,52.344,37.103,7.839,NA,SOUTH DEERING
1621,,500100,NA,142.5,2.1,13.752,3.213,1.26,0.044,75,PULLMAN
1622,,500100,NA,161.5,2.23,16.878,4.291,1.761,0.07,72,PULLMAN
1623,,490800,NA,150,2.15,14.961,3.617,1.445,0.053,76,ROSELAND
1624,,490500,NA,200,2.5,23.716,7.019,3.128,0.159,NA,ROSELAND
1625,,490500,NA,119.5,1.93,10.29,2.148,0.793,0.023,NA,ROSELAND
1626,,490600,NA,404,3.88,58.659,29.456,17.67,2.196,64,ROSELAND
1627,,730500,NA,150.5,2.15,15.042,3.645,1.458,0.054,58,WASHINGTON HEIGHTS
1628,,730500,NA,189.5,2.43,21.803,6.205,2.707,0.13,74,WASHINGTON HEIGHTS
1629,,730400,NA,141,2.08,13.514,3.135,1.225,0.042,NA,WASHINGTON HEIGHTS
1630,,730400,NA,132.5,2.02,12.198,2.718,1.039,0.034,NA,WASHINGTON HEIGHTS
1631,,730400,NA,171,2.3,18.514,4.898,2.054,0.088,94,WASHINGTON HEIGHTS
1632,,720200,NA,118.5,1.92,10.149,2.108,0.776,0.023,118,BEVERLY
1633,,720300,NA,126,1.98,11.228,2.423,0.911,0.028,61,BEVERLY
1634,,740300,NA,137.5,2.06,12.966,2.959,1.146,0.039,NA,MOUNT GREENWOOD
1635,,740300,NA,102,1.81,7.95,1.51,0.531,0.014,68,MOUNT GREENWOOD
1636,,740300,NA,53.5,1.45,3.07,0.428,0.127,0.002,65,MOUNT GREENWOOD
1637,,740200,NA,71.5,1.58,4.587,0.724,0.231,0.004,67,MOUNT GREENWOOD
1638,,740200,NA,44,1.38,2.412,0.313,0.09,0.001,35,MOUNT GREENWOOD
1639,,821700,NA,73.5,1.6,4.778,0.764,0.245,0.005,71,NA
1640,,821700,NA,129.5,2,11.746,2.579,0.978,0.031,49,NA
1641,,821800,NA,101,1.8,7.824,1.478,0.518,0.013,4,NA
1642,,821900,NA,79.5,1.64,5.375,0.893,0.292,0.006,65,NA
1643,,821900,NA,60,1.5,3.577,0.522,0.159,0.003,NA,NA
1644,,740200,NA,68,1.56,4.264,0.657,0.207,0.004,NA,MOUNT GREENWOOD
1645,,740300,NA,68.5,1.56,4.31,0.667,0.21,0.004,77,MOUNT GREENWOOD
1646,,740400,NA,149,2.14,14.797,3.561,1.419,0.052,NA,MOUNT GREENWOOD
1647,,740400,NA,73.5,1.6,4.778,0.764,0.245,0.005,58,MOUNT GREENWOOD
1648,,740400,NA,113.5,1.89,9.457,1.913,0.695,0.02,60,MOUNT GREENWOOD
1649,,740100,NA,62,1.52,3.742,0.554,0.17,0.003,78,MOUNT GREENWOOD
1650,,740100,NA,117.5,1.92,10.009,2.068,0.759,0.022,71,MOUNT GREENWOOD
1651,,821900,NA,62.5,1.52,3.784,0.562,0.173,0.003,62,NA
1652,,821800,NA,84,1.68,5.848,0.999,0.332,0.007,59,NA
1653,,821800,NA,63,1.52,3.826,0.57,0.176,0.003,61,NA
1654,,821800,NA,121.5,1.95,10.575,2.23,0.828,0.025,67,NA
1655,,821900,NA,127.5,1.99,11.449,2.489,0.939,0.029,52,NA
1656,,821900,NA,78.5,1.64,5.273,0.871,0.284,0.006,58,NA
